"ISO_Alpha_3","I_1","I_2","I_3","I_4","I_5","I_6","I_7","I_8","I_9","I_10","I_11","I_13","I_15","I_16","I_17","I_18","I_19","I_20","I_21","I_22","I_23","I_24","I_25","I_26"
"GBR",1589518,0.224365,81,1.315647389,4.940476624,3144,23615.59,747,3.45416666666667,1049000,59.91787193,28.24,2.5,16,NA,7,0.30722,0.9947,0.16999973,0.109039,11184042,0.006493162,7.847517712,35856.36667
"GEO",NA,0.280478,90.3,1.167793452,1.578906972,2822.4,3852.59,20,2.175,61100,NA,8.33,7.4,0,0,85,0.214385,0.9969,0.113068741,0.02051,592397,1.36e-05,4.753683742,NA
"GGY",NA,0.225855,85.6,NA,NA,0.2,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,0.0192701,NA,0.15372048,0.070908875,NA,0,NA,NA
"GHA",3367,0.359653,91.9,1.34961289,1.972310989,9337,45916.06,90000,2.854,38177,112.5648252,15.06,2.5,0,67.5,15,0.284276,0.9896,0.153463938,0.037360667,44911574,0.008253325,4.95859094,NA
"GIB",NA,NA,79.3,NA,NA,0,NA,NA,NA,NA,NA,26.67,2.5,NA,0,NA,0.139674,NA,0.17,0.093204857,0,0,NA,NA
"GIN",NA,0.184912667,92.1,2.092513152,1.407758197,6364,31703.65,26000,2.618,2617,77.88820873,30.68,16.4,0,56,23,0.221724,0.9887,0.15183629,0.004930833,12824531,0.019831766,4.164130911,NA
"GLP",NA,0.539609,92.1,0.451865887,3.226643161,71.496,NA,0,4.01,NA,NA,72.8,NA,NA,54.55,NA,0.332193,0.9411,0.169878854,0.119289333,15300,0.000753469,0.903540194,NA
"GMB",NA,NA,95.4,0.824636138,1.032328842,488,2065.25,3900,2.117,801,66.53847649,4.11,5.3,0,0,100,0.205766,0.9934,0.056831854,0.0703786,845097,0.002200674,2.267209053,NA
"GNB",NA,NA,93.3,3.02645393,1.534994348,1972,4412.74,150,2.14,0,NA,16.66,20.7,0,12.5,37,0.351235,0.9795,0.132623715,0.0160948,2884099,0.011834589,2.795469308,NA
"GNQ",NA,0.716225667,98,4.404802681,3.969690175,1568,959.51,1000,3.579,0,NA,19.27,NA,0,100,58,0.366058,0.988,0.169118132,0.010273714,822843,0.002813461,6.068938573,NA
